,Length_Title,Length_Plot_Synopsis,count_plot_synopsis_http,count_plot_synopsis_href,count_plot_synopsis_grtsign
143,13,2833,0,0,0
144,28,14132,0,0,0
145,6,3467,0,0,0
146,13,2544,0,0,0
147,17,1310,0,0,0
148,30,6091,0,0,0
149,6,3088,0,0,0
150,21,22161,0,0,0
151,14,4712,0,0,0
152,5,3472,0,0,0
153,10,1603,0,0,0
154,3,1988,0,0,0
155,9,3781,0,0,0
156,23,5760,0,0,0
157,12,2257,0,0,0
158,18,6220,0,0,0
159,12,4639,0,0,0
160,35,4323,0,0,0
161,15,3087,0,0,0
162,23,3096,0,0,0
163,6,4010,0,0,0
164,21,3604,0,0,0
165,9,1641,0,0,0
166,10,4429,0,0,0
167,3,2939,0,0,0
168,25,5457,0,0,0
169,3,3189,0,0,0
170,5,3279,0,0,0
171,2,4409,0,0,0
172,1,19010,0,0,0
173,6,1752,0,0,0
174,10,4519,0,0,0
175,8,1440,0,0,0
176,21,1079,0,0,0
177,16,6628,0,0,0
178,13,4757,0,0,0
179,14,2069,0,0,0
180,30,3512,0,0,0
181,15,1744,0,0,0
182,22,6036,0,0,0
183,25,5846,0,0,0
184,17,9182,0,0,0
185,17,4348,0,0,0
186,25,1545,0,0,0
187,16,4216,0,0,0
188,12,4520,0,0,0
189,12,3337,0,0,0
190,12,5181,0,0,0
191,17,1472,0,0,0
192,23,869,0,0,0
193,17,3163,0,0,0
194,29,5618,0,0,0
195,24,2808,0,0,0
196,27,2779,0,0,0
197,25,6215,0,0,0
198,25,5403,0,0,0
199,18,5269,0,0,0
200,13,4965,0,0,0
201,17,3693,0,0,0
202,24,4118,0,0,0
203,17,13004,0,0,0
204,18,6061,0,0,0
205,34,3313,0,0,0
206,18,15563,0,0,0
207,13,4039,0,0,0
208,13,6068,0,0,0
209,43,12862,0,0,0
210,18,1213,0,0,0
211,19,10351,0,0,0
212,15,5462,0,0,0
213,18,3548,0,0,0
214,22,2390,0,0,0
215,13,1423,0,0,0
216,17,17820,0,0,0
217,18,6153,0,0,0
218,17,1982,0,0,0
219,18,1914,0,0,0
220,19,5354,0,0,0
221,14,5462,0,0,0
222,19,4042,0,0,0
223,30,5039,0,0,0
224,18,2566,0,0,0
225,18,2566,0,0,0
226,10,2026,0,0,0
227,16,1400,0,0,0
228,14,14552,0,0,0
229,18,3458,0,0,0
230,20,2583,0,0,0
231,14,3579,0,0,0
232,19,10219,0,0,0
233,22,3236,0,0,0
234,29,2721,0,0,0
235,29,4196,0,0,0
236,16,1873,0,0,0
237,19,1555,0,0,0
238,19,5001,0,0,0
239,46,11350,0,0,0
240,21,1238,0,0,0
241,32,2615,0,0,0
242,22,3751,0,0,0
243,15,3221,0,0,0
244,12,2309,0,0,0
245,11,4162,0,0,0
246,15,2730,0,0,0
247,13,2212,0,0,0
248,34,2232,0,0,0
249,10,1146,0,0,0
250,15,2019,0,0,0
251,18,2703,0,0,0
252,15,3944,0,0,0
253,17,5487,0,0,0
254,26,1376,0,0,0
255,22,1763,0,0,0
256,21,10825,0,0,0
257,17,2177,0,0,0
258,21,12312,0,0,0
259,28,1592,0,0,0
260,18,2047,0,0,0
261,15,15514,0,0,0
262,23,2170,0,0,0
263,21,20671,0,0,0
264,23,3318,0,0,0
265,20,6018,0,0,0
266,14,5101,0,0,0
267,17,6308,0,0,0
268,23,4963,0,0,0
269,26,1735,0,0,0
270,22,3858,0,0,0
271,17,4083,0,0,0
272,19,3624,0,0,0
273,17,2577,0,0,0
274,21,5222,0,0,0
275,26,3664,0,0,0
276,26,3739,0,0,0
277,16,4280,0,0,0
278,16,4280,0,0,0
279,25,6518,0,0,0
280,25,6518,0,0,0
281,25,6518,0,0,0
282,25,6518,0,0,0
283,13,4435,0,0,0
284,33,14386,0,0,0
285,18,3100,0,0,0
286,19,5141,0,0,0
287,17,2902,0,0,0
288,20,3160,0,0,0
289,17,14203,0,0,0
290,10,3410,0,0,0
291,20,13693,0,0,0
292,22,4203,0,0,0
293,17,1680,0,0,0
294,20,2869,0,0,0
295,25,3527,0,0,0
296,25,3527,0,0,0
297,25,12648,0,0,0
298,43,23868,0,0,0
299,45,5279,0,0,0
300,50,4893,0,0,0
301,42,4988,0,0,0
302,18,3474,0,0,0
303,15,2234,0,0,0
304,13,2772,0,0,0
305,17,19615,0,0,0
306,16,5014,0,0,0
307,15,14564,0,0,0
308,19,2086,0,0,0
309,18,4572,0,0,0
310,22,2421,0,0,0
311,20,2542,0,0,0
312,15,1311,0,0,0
313,23,3889,0,0,0
314,22,2502,0,0,0
315,18,3376,0,0,0
316,16,6183,0,0,0
317,16,7247,0,0,0
318,30,3523,0,0,0
319,30,3523,0,0,0
320,13,3314,0,0,0
321,28,1166,0,0,0
322,19,4487,0,0,0
323,18,3257,0,0,0
324,13,8145,0,0,0
325,22,2909,0,0,0
326,13,4051,0,0,0
327,12,4680,0,0,0
328,17,5891,0,0,0
329,18,3801,0,0,0
330,15,4377,0,0,0
331,14,1470,0,0,0
332,14,1470,0,0,0
333,14,13712,0,0,0
334,19,2138,0,0,0
335,24,5029,0,0,0
336,14,4835,0,0,0
337,14,1984,0,0,0
338,20,13041,0,0,0
339,20,13041,0,0,0
340,15,2853,0,0,0
341,20,3052,0,0,0
342,33,1582,0,0,0
343,18,2717,0,0,0
344,14,6476,0,0,0
345,24,6345,0,0,0
346,23,2466,0,0,0
347,19,2213,0,0,0
348,34,3348,0,0,0
349,19,3156,0,0,0
350,16,8323,0,0,0
351,27,14475,0,0,0
352,20,2434,0,0,0
353,18,2143,0,0,0
354,18,5534,0,0,0
355,15,1087,0,0,0
356,24,1826,0,0,0
357,11,4291,0,0,0
358,27,1497,0,0,0
359,18,2105,0,0,0
360,14,4100,0,0,0
361,16,2105,0,0,0
362,15,3588,0,0,0
363,19,2538,0,0,0
364,17,3099,0,0,0
365,7,1557,0,0,0
366,28,1763,0,0,0
367,3,4718,0,0,0
368,3,5968,0,0,0
369,21,2622,0,0,0
370,23,3872,0,0,0
371,34,6414,0,0,0
372,17,7677,0,0,0
373,15,4502,0,0,0
374,3,1514,0,0,0
375,3,2114,0,0,0
376,11,3706,0,0,0
377,11,1662,0,0,0
378,7,1970,0,0,0
379,7,1970,0,0,0
380,11,4070,0,0,0
381,5,2034,0,0,0
382,3,1796,0,0,0
383,16,1576,0,0,0
384,15,7039,0,0,0
385,16,1690,0,0,0
386,5,2424,0,0,0
387,7,5760,0,0,0
388,9,7791,0,0,0
389,30,1688,0,0,0
390,37,1816,0,0,0
391,48,3366,0,0,0
392,50,2485,0,0,0
393,34,2280,0,0,0
394,9,5746,0,0,0
395,23,2518,0,0,0
396,10,8395,0,0,0
397,9,1530,0,0,0
398,30,3181,0,0,0
399,12,1233,0,0,0
400,13,10114,0,0,0
401,10,16525,0,0,0
402,11,5886,0,0,0
403,15,3714,0,0,0
404,15,3714,0,0,0
405,13,2237,0,0,0
406,13,2032,0,0,0
407,27,4215,0,0,0
408,31,4371,0,0,0
409,17,3728,0,0,0
410,8,4912,0,0,0
411,7,1082,0,0,0
412,14,4833,0,0,0
413,19,5431,0,0,0
414,15,1880,0,0,0
415,8,4126,0,0,0
416,14,3680,0,0,0
417,26,9844,0,0,0
418,30,3637,0,0,0
419,15,3097,0,0,0
420,11,1926,0,0,0
421,20,4506,0,0,0
422,9,1257,0,0,0
423,10,12614,0,0,0
424,19,8028,0,0,0
425,17,1301,0,0,0
426,18,3537,0,0,0
427,19,12789,0,0,0
428,12,14873,0,0,0
429,15,2107,0,0,0
430,14,2767,0,0,0
431,14,2770,0,0,0
432,19,19614,0,0,0
433,13,2333,0,0,0
434,6,1519,0,0,0
435,12,2462,0,0,0
436,11,2714,0,0,0
437,11,2903,0,0,0
438,20,6438,0,0,0
439,18,1925,0,0,0
440,12,2197,0,0,0
441,7,7719,0,0,0
442,9,1997,0,0,0
443,9,1114,0,0,0
444,9,2582,0,0,0
445,9,5909,0,0,0
446,13,4503,0,0,0
447,25,7743,0,0,0
448,28,2853,0,0,0
449,22,2014,0,0,0
450,19,3810,0,0,0
451,18,2521,0,0,0
452,15,1476,0,0,0
453,6,3181,0,0,0
454,7,5001,0,0,0
455,13,1228,0,0,0
456,18,1662,0,0,0
457,22,10870,0,0,0
458,8,2165,0,0,0
459,9,4225,0,0,0
460,10,3780,0,0,0
461,12,1752,0,0,0
462,12,1752,0,0,0
463,26,905,0,0,0
464,20,1057,0,0,0
465,11,4266,0,0,0
466,11,3919,0,0,0
467,11,14123,0,0,0
468,20,4272,0,0,0
469,9,2596,0,0,0
470,17,1604,0,0,0
471,14,4028,0,0,0
472,16,3266,0,0,0
473,18,6267,0,0,0
474,10,3067,0,0,0
475,9,3326,0,0,0
476,9,3914,0,0,0
477,9,3914,0,0,0
478,11,1985,0,0,0
479,10,5260,0,0,0
480,34,4943,0,0,0
481,17,2962,0,0,0
482,16,4561,0,0,0
483,16,5118,0,0,0
484,16,5485,0,0,0
485,17,1494,0,0,0
486,16,4178,0,0,0
487,16,4197,0,0,0
488,38,3977,0,0,0
489,9,2944,0,0,0
490,9,3415,0,0,0
491,12,1560,0,0,0
492,17,5630,0,0,0
493,11,2997,0,0,0
494,5,3695,0,0,0
495,24,19314,0,0,0
496,9,22756,0,0,0
497,15,12568,0,0,0
498,13,2233,0,0,0
499,14,3923,0,0,0
500,16,1999,0,0,0
501,24,4560,0,0,0
502,11,4490,0,0,0
503,13,10268,0,0,0
504,8,2321,0,0,0
505,8,3615,0,0,0
506,7,5712,0,0,0
507,16,2687,0,0,0
508,6,4829,0,0,0
509,23,2860,0,0,0
510,9,1859,0,0,0
511,7,6818,0,0,0
512,11,3872,0,0,0
513,12,5661,0,0,0
514,5,3125,0,0,0
515,31,4041,0,0,0
516,7,3647,0,0,0
517,6,1847,0,0,0
518,5,7447,0,0,0
519,7,3268,0,0,0
520,7,7156,0,0,0
521,19,3998,0,0,0
522,5,14342,0,0,0
523,5,2861,0,0,0
524,13,7488,0,0,0
525,9,1616,0,0,0
526,7,10155,0,0,0
527,7,14782,0,0,0
528,6,3320,0,0,0
529,13,4127,0,0,0
530,26,2386,0,0,0
531,9,1934,0,0,0
532,9,3683,0,0,0
533,12,3749,0,0,0
534,18,3900,0,0,0
535,11,1906,0,0,0
536,10,2000,0,0,0
537,9,3460,0,0,0
538,19,1097,0,0,0
539,13,3894,0,0,0
540,26,4085,0,0,0
541,5,3613,0,0,0
542,5,3613,0,0,0
543,16,1533,0,0,0
544,3,3426,0,0,0
545,14,3318,0,0,0
546,15,3201,0,0,0
547,20,2151,0,0,0
548,5,4801,0,0,0
549,5,1685,0,0,0
550,11,2732,0,0,0
551,31,9639,0,0,0
552,15,3645,0,0,0
553,19,753,0,0,0
554,19,8752,0,0,0
555,19,5198,0,0,0
556,26,1286,0,0,0
557,18,4006,0,0,0
558,5,26384,0,0,0
559,21,4400,0,0,0
560,15,3690,0,0,0
561,15,3690,0,0,0
562,11,1148,0,0,0
563,16,1914,0,0,0
564,12,3594,0,0,0
565,12,3210,0,0,0
566,14,8016,0,0,0
567,13,3219,0,0,0
568,15,2267,0,0,0
569,15,4386,0,0,0
570,19,12640,0,0,0
571,6,29879,0,0,0
572,19,4336,0,0,0
573,6,29445,0,0,0
574,13,7037,0,0,0
575,23,5524,0,0,0
576,20,4201,0,0,0
577,20,4201,0,0,0
578,21,4967,0,0,0
579,15,1331,0,0,0
580,16,1783,0,0,0
581,18,1783,0,0,0
582,11,8087,0,0,0
583,16,1784,0,0,0
584,11,2146,0,0,0
585,16,2083,0,0,0
586,30,4993,0,0,0
587,19,1254,0,0,0
588,22,21121,0,0,0
589,13,2721,0,0,0
590,22,5007,0,0,0
591,21,2436,0,0,0
592,24,2183,0,0,0
593,21,4264,0,0,0
594,28,3102,0,0,0
595,18,6030,0,0,0
596,18,6030,0,0,0
597,23,3801,0,0,0
598,21,3247,0,0,0
599,18,3278,0,0,0
600,17,4393,0,0,0
601,42,2122,0,0,0
602,18,1460,0,0,0
603,9,7057,0,0,0
604,6,7009,0,0,0
605,9,3636,0,0,0
606,13,12179,0,0,0
607,12,3432,0,0,0
608,21,3688,0,0,0
609,18,4264,0,0,0
610,17,12366,0,0,0
611,17,7367,0,0,0
612,14,1503,0,0,0
613,16,2462,0,0,0
614,19,5195,0,0,0
615,22,2804,0,0,0
616,22,1379,0,0,0
617,9,6323,0,0,0
618,49,36321,0,0,0
619,13,1494,0,0,0
620,14,3501,0,0,0
621,8,3618,0,0,0
622,21,4056,0,0,0
623,23,4056,0,0,0
624,40,3988,0,0,0
625,39,10033,0,0,0
626,12,2452,0,0,0
627,7,4898,0,0,0
628,19,15788,0,0,0
629,18,4876,0,0,0
630,9,3517,0,0,0
631,13,5457,0,0,0
632,8,9198,0,0,0
633,9,1532,0,0,0
634,13,3288,0,0,0
635,13,3523,0,0,0
636,24,3726,0,0,0
637,8,2764,0,0,0
638,6,2802,0,0,0
639,5,2730,0,0,0
640,7,3972,0,0,0
641,34,1822,0,0,0
642,20,11290,0,0,0
643,21,4037,0,0,0
644,38,3755,0,0,0
645,15,4107,0,0,0
646,15,2151,0,0,0
647,16,1808,0,0,0
648,16,3678,0,0,0
649,15,3769,0,0,0
650,17,6310,0,0,0
651,15,10353,0,0,0
652,17,22671,0,0,0
653,18,11606,0,0,0
654,14,4321,0,0,0
655,21,2544,0,0,0
656,15,37435,0,0,0
657,41,16073,0,0,0
658,18,4281,0,0,0
659,13,2498,0,0,0
660,11,1163,0,0,0
661,14,3346,0,0,0
662,14,4120,0,0,0
663,35,4091,0,0,0
664,34,2303,0,0,0
665,16,1808,0,0,0
666,16,4276,0,0,0
667,16,1762,0,0,0
668,17,7333,0,0,0
669,12,11915,0,0,0
670,14,6231,0,0,0
671,38,6119,0,0,0
672,12,3835,0,0,0
673,15,63959,0,0,0
674,37,3262,0,0,0
675,16,10753,0,0,0
676,16,2412,0,0,0
677,15,19046,0,0,0
678,12,1622,0,0,0
679,13,1960,0,0,0
680,14,10099,0,0,0
681,16,9193,0,0,0
682,11,2185,0,0,0
683,7,3594,0,0,0
684,14,2745,0,0,0
685,29,3946,0,0,0
686,28,9694,0,0,0
687,6,2173,0,0,0
688,8,3125,0,0,0
689,11,1894,0,0,0
690,11,6864,0,0,0
691,22,8669,0,0,0
692,13,12733,0,0,0
693,13,5410,0,0,0
694,12,4371,0,0,0
695,9,10598,0,0,0
696,30,3464,0,0,0
697,21,2781,0,0,0
698,27,3052,0,0,0
699,18,1286,0,0,0
700,17,2824,0,0,0
701,20,20357,0,0,0
702,16,14477,0,0,0
703,34,3634,0,0,0
704,30,6809,0,0,0
705,29,4383,0,0,0
706,20,3956,0,0,0
707,24,3998,0,0,0
708,12,6971,0,0,0
709,19,4199,0,0,0
710,24,5792,0,0,0
711,16,5387,0,0,0
712,15,9365,0,0,0
713,18,4726,0,0,0
714,18,4726,0,0,0
715,26,6466,0,0,0
716,18,3573,0,0,0
717,5,754,0,0,0
718,8,4090,0,0,0
719,19,3521,0,0,0
720,27,3823,0,0,0
721,40,4123,0,0,0
722,20,2104,0,0,0
723,12,2529,0,0,0
724,12,3995,0,0,0
725,8,5221,0,0,0
726,5,983,0,0,0
727,9,9007,0,0,0
728,9,2209,0,0,0
729,19,4008,0,0,0
730,10,8306,0,0,0
731,33,17116,0,0,0
732,37,5730,0,0,0
733,14,1924,0,0,0
734,36,3063,0,0,0
735,24,5090,0,0,0
736,22,1871,0,0,0
737,27,1888,0,0,0
738,6,3515,0,0,0
739,5,862,0,0,0
740,5,1230,0,0,0
741,15,2539,0,0,0
742,13,3593,0,0,0
743,26,4132,0,0,0
744,10,7767,0,0,0
745,13,16326,0,0,0
746,22,1416,0,0,0
747,7,5144,0,0,0
748,26,2053,0,0,0
749,20,960,0,0,0
750,20,3223,0,0,0
751,5,4505,0,0,0
752,19,1376,0,0,0
753,10,5569,0,0,0
754,11,19843,0,0,0
755,10,4493,0,0,0
756,20,4550,0,0,0
757,20,1770,0,0,0
758,20,1642,0,0,0
759,20,1642,0,0,0
760,7,3825,0,0,0
761,14,6582,0,0,0
762,15,8005,0,0,0
763,24,1817,0,0,0
764,20,1983,0,0,0
765,18,3511,0,0,0
766,23,3472,0,0,0
767,16,5628,0,0,0
768,16,5729,0,0,0
769,22,3101,0,0,0
770,32,4519,0,0,0
771,21,22913,0,0,0
772,5,7633,0,0,0
773,8,9924,0,0,0
774,14,2027,0,0,0
775,11,5498,0,0,0
776,11,5498,0,0,0
777,12,4550,0,0,0
778,14,3824,0,0,0
779,6,3999,0,0,0
780,6,2489,0,0,0
781,15,2976,0,0,0
782,6,5492,0,0,0
783,4,1697,0,0,0
784,12,2213,0,0,0
785,11,1809,0,0,0
786,13,12827,0,0,0
787,17,4455,0,0,0
788,9,7130,0,0,0
789,32,3612,0,0,0
790,18,1626,0,0,0
791,5,3464,0,0,0
792,5,3464,0,0,0
793,5,19370,0,0,0
794,10,3068,0,0,0
795,7,4401,0,0,0
796,9,20205,0,0,0
797,29,1022,0,0,0
798,9,5877,0,0,0
799,13,1908,0,0,0
800,15,7929,0,0,0
801,13,3499,0,0,0
802,17,1426,0,0,0
803,35,1141,0,0,0
804,12,3247,0,0,0
805,12,3247,0,0,0
806,16,6699,0,0,0
807,13,1548,0,0,0
808,13,1548,0,0,0
809,12,2628,0,0,0
810,18,3812,0,0,0
811,7,9083,0,0,0
812,7,4307,0,0,0
813,21,2174,0,0,0
814,15,3473,0,0,0
815,14,3766,0,0,0
816,10,3178,0,0,0
817,20,2734,0,0,0
818,10,3767,0,0,0
819,10,1667,0,0,0
820,9,2491,0,0,0
821,9,4205,0,0,0
822,18,1613,0,0,0
823,7,998,0,0,0
824,9,2015,0,0,0
825,18,6511,0,0,0
826,20,6511,0,0,0
827,20,6511,0,0,0
828,20,6511,0,0,0
829,20,6511,0,0,0
830,13,3775,0,0,0
831,4,3885,0,0,0
832,7,2053,0,0,0
833,11,2118,0,0,0
834,16,3020,0,0,0
835,21,2252,0,0,0
836,8,2197,0,0,0
837,16,3493,0,0,0
838,12,1491,0,0,0
839,8,4603,0,0,0
840,11,1088,0,0,0
841,14,5521,0,0,0
842,4,1696,0,0,0
843,14,4544,0,0,0
844,17,4741,0,0,0
845,10,13760,0,0,0
846,9,10040,0,0,0
847,9,4748,0,0,0
848,21,1449,0,0,0
849,9,11308,0,0,0
850,10,2545,0,0,0
851,21,2322,0,0,0
852,21,2902,0,0,0
853,25,5642,0,0,0
854,11,4462,0,0,0
855,11,4183,0,0,0
856,16,10036,0,0,0
857,16,3085,0,0,0
858,13,4122,0,0,0
859,9,2782,0,0,0
860,52,7278,0,0,0
861,10,4144,0,0,0
862,9,21187,0,0,0
863,14,3257,0,0,0
864,14,3257,0,0,0
865,8,1991,0,0,0
866,13,9166,0,0,0
867,8,1306,0,0,0
868,5,3422,0,0,0
869,6,1767,0,0,0
870,17,3277,0,0,0
871,41,5092,0,0,0
872,9,1111,0,0,0
873,9,1111,0,0,0
874,10,4844,0,0,0
875,27,1646,0,0,0
876,27,5005,0,0,0
877,5,3931,0,0,0
878,4,11232,0,0,0
879,4,4003,0,0,0
880,13,3122,0,0,0
881,12,6648,0,0,0
882,14,5979,0,0,0
883,10,9191,0,0,0
884,10,3957,0,0,0
885,19,4189,0,0,0
886,25,9332,0,0,0
887,21,9332,0,0,0
888,7,8260,0,0,0
889,19,1611,0,0,0
890,9,1157,0,0,0
891,12,4234,0,0,0
892,16,3584,0,0,0
893,21,2669,0,0,0
894,6,3398,0,0,0
895,27,8375,0,0,0
896,9,14568,0,0,0
897,8,1883,0,0,0
898,7,5550,0,0,0
899,10,1196,0,0,0
900,20,10179,0,0,0
901,12,3747,0,0,0
902,23,1869,0,0,0
903,12,4477,0,0,0
904,4,2443,0,0,0
905,6,2665,0,0,0
906,6,6497,0,0,0
907,22,2398,0,0,0
908,27,9702,0,0,0
909,5,1383,0,0,0
910,18,18663,0,0,0
911,18,12641,0,0,0
912,15,3678,0,0,0
913,15,3678,0,0,0
914,25,3636,0,0,0
915,13,1132,0,0,0
916,15,6001,0,0,0
917,12,1637,0,0,0
918,5,5329,0,0,0
919,4,2811,0,0,0
920,16,5626,0,0,0
921,19,4276,0,0,0
922,31,8804,0,0,0
923,13,3961,0,0,0
924,19,2003,0,0,0
925,9,1955,0,0,0
926,9,1955,0,0,0
927,7,981,0,0,0
928,22,6383,0,0,0
929,22,3866,0,0,0
930,18,1356,0,0,0
931,18,4873,0,0,0
932,9,5227,0,0,0
933,24,2207,0,0,0
934,31,2266,0,0,0
935,22,3109,0,0,0
936,6,5373,0,0,0
937,6,5610,0,0,0
938,6,3521,0,0,0
939,14,1101,0,0,0
940,12,2901,0,0,0
941,33,2719,0,0,0
942,7,1678,0,0,0
943,6,7114,0,0,0
944,7,3220,0,0,0
945,13,2078,0,0,0
946,18,10945,0,0,0
947,12,3177,0,0,0
948,23,3147,0,0,0
949,25,4318,0,0,0
950,29,3206,0,0,0
951,22,17510,0,0,0
952,9,14817,0,0,0
953,27,1950,0,0,0
954,9,2172,0,0,0
955,14,2676,0,0,0
956,33,1336,0,0,0
957,27,11333,0,0,0
958,32,4559,0,0,0
959,27,11081,0,0,0
960,29,3908,0,0,0
961,30,3908,0,0,0
962,16,5625,0,0,0
963,6,7518,0,0,0
964,6,2914,0,0,0
965,6,2914,0,0,0
966,39,2460,0,0,0
967,13,2909,0,0,0
968,21,3661,0,0,0
969,21,23393,0,0,0
970,11,4167,0,0,0
971,11,4941,0,0,0
972,18,2107,0,0,0
973,27,3392,0,0,0
974,28,2947,0,0,0
975,20,7869,0,0,0
976,11,5673,0,0,0
977,9,5880,0,0,0
978,15,3265,0,0,0
979,10,9558,0,0,0
980,27,4087,0,0,0
981,43,3193,0,0,0
982,37,4629,0,0,0
983,9,28359,0,0,0
984,16,3299,0,0,0
985,19,1511,0,0,0
986,35,2284,0,0,0
987,21,3002,0,0,0
988,18,5990,0,0,0
989,8,4401,0,0,0
990,17,4488,0,0,0
991,6,4663,0,0,0
992,7,2550,0,0,0
993,6,25668,0,0,0
994,26,4892,0,0,0
995,8,4085,0,0,0
996,14,2621,0,0,0
997,23,3902,0,0,0
998,14,2552,0,0,0
999,14,2329,0,0,0
1000,15,1683,0,0,0
1001,14,2961,0,0,0
1002,10,1249,0,0,0
1003,9,1163,0,0,0
1004,24,22937,0,0,0
1005,6,5008,0,0,0
1006,5,5294,0,0,0
1007,8,4086,0,0,0
1008,10,3478,0,0,0
1009,8,6399,0,0,0
1010,10,3325,0,0,0
1011,13,2167,0,0,0
1012,12,1869,0,0,0
1013,16,1103,0,0,0
1014,5,4532,0,0,0
1015,20,1960,0,0,0
1016,15,1521,0,0,0
1017,11,6074,0,0,0
1018,11,2642,0,0,0
1019,13,12578,0,0,0
1020,14,5409,0,0,0
1021,6,3071,0,0,0
1022,8,8984,0,0,0
1023,6,2945,0,0,0
1024,15,1635,0,0,0
1025,4,1152,0,0,0
1026,5,2447,0,0,0
1027,5,2447,0,0,0
1028,5,2447,0,0,0
1029,8,5698,0,0,0
1030,9,1053,0,0,0
1031,16,2750,0,0,0
1032,4,3681,0,0,0
1033,21,3426,0,0,0
1034,5,11418,0,0,0
1035,5,8291,0,0,0
1036,16,4013,0,0,0
1037,16,4013,0,0,0
1038,16,4013,0,0,0
1039,17,4233,0,0,0
1040,15,1786,0,0,0
1041,8,3815,0,0,0
1042,16,2565,0,0,0
1043,9,4042,0,0,0
1044,16,1438,0,0,0
1045,9,3027,0,0,0
1046,14,2316,0,0,0
1047,16,1828,0,0,0
1048,8,5612,0,0,0
1049,27,3449,0,0,0
1050,12,5097,0,0,0
1051,19,3138,0,0,0
1052,17,1580,0,0,0
1053,14,1480,0,0,0
1054,8,8792,0,0,0
1055,17,3947,0,0,0
1056,15,1841,0,0,0
1057,14,3730,0,0,0
1058,17,11021,0,0,0
1059,18,3383,0,0,0
1060,18,38398,0,0,0
1061,26,42696,0,0,0
1062,27,25515,0,0,0
